""Popolazione residente al 1° Gennaio 2020 per sesso età (b) e stato civile (n)""
"Regione","Età","Maschi celibi","Maschi coniugati","Maschi divorziati","Maschi vedovi","Maschi uniti civilmente","Maschi già in unione civile (per scioglimento)","Maschi già in unione civile (per decesso del partner)","Totale Maschi","Femmine nubili","Femmine coniugate","Femmine divorziate","Femmine vedove","Femmine unite civilmente","Femmine già in unione civile (per scioglimento)","Femmine già in unione civile (per decesso del partner)","Totale Femmine"
Piemonte,0,14145,0,0,0,0,0,0,14145,13640,0,0,0,0,0,0,13640
Piemonte,1,14705,0,0,0,0,0,0,14705,14291,0,0,0,0,0,0,14291
Piemonte,2,15653,0,0,0,0,0,0,15653,15180,0,0,0,0,0,0,15180
Piemonte,3,16397,0,0,0,0,0,0,16397,15656,0,0,0,0,0,0,15656
Piemonte,4,17102,0,0,0,0,0,0,17102,15731,0,0,0,0,0,0,15731
Piemonte,5,17441,0,0,0,0,0,0,17441,16740,0,0,0,0,0,0,16740
Piemonte,6,18050,0,0,0,0,0,0,18050,17015,0,0,0,0,0,0,17015
Piemonte,7,18764,0,0,0,0,0,0,18764,17650,0,0,0,0,0,0,17650
Piemonte,8,19087,0,0,0,0,0,0,19087,17611,0,0,0,0,0,0,17611
Piemonte,9,19364,0,0,0,0,0,0,19364,18213,0,0,0,0,0,0,18213
Piemonte,10,19847,0,0,0,0,0,0,19847,18804,0,0,0,0,0,0,18804
Piemonte,11,20113,0,0,0,0,0,0,20113,18823,0,0,0,0,0,0,18823
Piemonte,12,20004,0,0,0,0,0,0,20004,18908,0,0,0,0,0,0,18908
Piemonte,13,19762,0,0,0,0,0,0,19762,18588,0,0,0,0,0,0,18588
Piemonte,14,19675,0,0,0,0,0,0,19675,18479,0,0,0,0,0,0,18479
Piemonte,15,19752,1,0,0,0,0,0,19753,18358,1,1,0,0,0,0,18360
Piemonte,16,19753,0,4,0,0,0,0,19757,18497,0,0,0,0,0,0,18497
Piemonte,17,19257,0,2,0,0,0,0,19259,18454,0,4,0,0,0,0,18458
Piemonte,18,19622,2,4,0,0,0,0,19628,18365,13,3,0,0,0,0,18381
Piemonte,19,20624,10,3,0,0,0,0,20637,18892,110,0,0,0,0,0,19002
Piemonte,20,20703,29,2,0,0,0,0,20734,18249,270,1,0,0,0,0,18520
Piemonte,21,21277,49,4,0,1,0,0,21331,18348,410,4,0,0,0,0,18762
Piemonte,22,20794,104,4,0,0,0,0,20902,18312,685,13,0,2,0,0,19012
Piemonte,23,20580,215,5,1,9,0,0,20810,17664,959,9,2,5,0,0,18639
Piemonte,24,20246,367,9,0,5,0,0,20627,17423,1329,23,2,3,1,0,18781
Piemonte,25,20117,524,12,1,8,0,0,20662,17156,1961,37,7,4,0,0,19165
Piemonte,26,20008,939,20,0,9,0,0,20976,16769,2670,51,4,8,1,0,19503
Piemonte,27,20212,1427,25,1,10,0,0,21675,16584,3612,66,8,12,2,0,20284
Piemonte,28,19622,2111,44,2,7,0,0,21786,15863,4549,95,6,7,0,0,20520
Piemonte,29,19497,2965,54,2,20,0,0,22538,14929,5857,152,9,14,2,0,20963
Piemonte,30,17989,3913,85,6,24,0,0,22017,13721,6941,207,14,14,0,0,20897
Piemonte,31,17443,5054,109,4,24,1,0,22635,13010,8226,266,24,24,0,0,21550
Piemonte,32,15544,6075,149,7,20,0,0,21795,11630,9339,356,38,30,2,0,21395
Piemonte,33,15073,7018,194,8,29,1,0,22323,10923,10130,453,40,19,0,0,21565
Piemonte,34,14547,7930,227,7,30,0,0,22741,10525,11211,576,43,17,0,0,22372
Piemonte,35,13723,8705,295,8,17,0,0,22748,10126,11799,653,41,26,1,1,22647
Piemonte,36,13099,9938,440,14,28,0,0,23519,9617,12800,755,84,30,0,0,23286
Piemonte,37,12918,11059,437,11,25,2,0,24452,9464,13766,926,78,18,0,0,24252
Piemonte,38,12199,11602,564,18,20,0,0,24403,8991,14340,1055,98,15,0,0,24499
Piemonte,39,12031,12362,681,19,24,0,0,25117,8697,15036,1263,141,16,1,0,25154
Piemonte,40,11804,13271,773,30,30,3,0,25911,8296,15834,1358,149,19,1,0,25657
Piemonte,41,12180,14411,900,40,34,0,0,27565,8587,17158,1621,203,18,1,0,27588
Piemonte,42,12104,15589,1056,45,27,0,0,28821,8711,18537,1806,204,23,0,0,29281
Piemonte,43,12177,16691,1256,47,29,0,0,30200,8390,19696,2189,272,26,1,0,30574
Piemonte,44,12203,18165,1511,55,42,0,0,31976,8544,21084,2500,316,35,1,0,32480
Piemonte,45,12193,19561,1770,71,48,1,0,33644,8319,22198,2794,337,26,2,0,33676
Piemonte,46,11805,19838,1950,75,47,0,0,33715,7919,22314,2825,416,26,0,0,33500
Piemonte,47,11033,21135,2081,130,32,1,1,34413,7563,23172,3247,452,22,0,0,34456
Piemonte,48,10686,21517,2292,136,38,2,0,34671,7036,24370,3332,565,17,2,0,35322
